city,state_id,state_name,lat,lng
Aaronsburg,PA,Pennsylvania,40.9042,-77.4513
Abanda,AL,Alabama,33.0926,-85.5253
Abbeville,LA,Louisiana,29.975,-92.1265
Abbeville,SC,South Carolina,34.1787,-82.3774
Abbeville,GA,Georgia,31.9925,-83.3068
Abbeville,AL,Alabama,31.5664,-85.2528
Abbeville,MS,Mississippi,34.5034,-89.5025
Abbotsford,WI,Wisconsin,44.9432,-90.3169
Abbott,TX,Texas,31.8869,-97.08
Abbottstown,PA,Pennsylvania,39.8843,-76.9888
Abbyville,KS,Kansas,37.9704,-98.2028
Abercrombie,ND,North Dakota,46.4471,-96.7294
Aberdeen,WA,Washington,46.9757,-123.8094
Aberdeen,SD,South Dakota,45.4646,-98.468
Aberdeen,MD,Maryland,39.5146,-76.173
Aberdeen,NC,North Carolina,35.135,-79.4326
Aberdeen,MS,Mississippi,33.8287,-88.5539
Aberdeen,ID,Idaho,42.9441,-112.8384
Aberdeen,OH,Ohio,38.6714,-83.7705
Aberdeen,IN,Indiana,41.4418,-87.1166
Aberdeen Gardens,WA,Washington,47.0587,-123.7791
Aberdeen Proving Ground,MD,Maryland,39.4673,-76.1308
Abernathy,TX,Texas,33.8389,-101.823
Abeytas,NM,New Mexico,34.4652,-106.8137
Abie,NE,Nebraska,41.3339,-96.9495
Abilene,TX,Texas,32.4543,-99.7384
Abilene,KS,Kansas,38.9229,-97.2251
Abingdon,VA,Virginia,36.7089,-81.9713
Abingdon,IL,Illinois,40.8039,-90.401
Abiquiu,NM,New Mexico,36.2017,-106.3239
Abita Springs,LA,Louisiana,30.4761,-90.0292
Abram,TX,Texas,26.2182,-98.4181
Abrams,WI,Wisconsin,44.7796,-88.0605
Absarokee,MT,Montana,45.5242,-109.4474
Absecon,NJ,New Jersey,39.4228,-74.4944
Acacia Villas,FL,Florida,26.6457,-80.1104
Acalanes Ridge,CA,California,37.9046,-122.0786
Acampo,CA,California,38.1735,-121.2798
Accident,MD,Maryland,39.6257,-79.32
Accokeek,MD,Maryland,38.6745,-77.0023
Accomac,VA,Virginia,37.7196,-75.6674
Accord,NY,New York,41.7972,-74.2319
Accoville,WV,West Virginia,37.7652,-81.827
Aceitunas,PR,Puerto Rico,18.4455,-67.0669
Acequia,ID,Idaho,42.6688,-113.5968
Achille,OK,Oklahoma,33.8346,-96.39
Ackerly,TX,Texas,32.5251,-101.7158
Ackerman,MS,Mississippi,33.311,-89.1711
Ackermanville,PA,Pennsylvania,40.835,-75.2226
Ackley,IA,Iowa,42.5519,-93.0526
Ackworth,IA,Iowa,41.3642,-93.4723
Acme,WA,Washington,48.7145,-122.2293
Acomita Lake,NM,New Mexico,35.066,-107.6173
Acres Green,CO,Colorado,39.5558,-104.8958
Acton,CA,California,34.4956,-118.1857
Acushnet Center,MA,Massachusetts,41.685,-70.9065
Acworth,GA,Georgia,34.0566,-84.6715
Ada,OK,Oklahoma,34.7683,-96.6689
Ada,OH,Ohio,40.7681,-83.8253
Ada,MN,Minnesota,47.2992,-96.5165
Ada,KS,Kansas,39.1622,-97.886
Adair,OK,Oklahoma,36.4366,-95.2727
Adair,IA,Iowa,41.5004,-94.6434
Adair,IL,Illinois,40.4183,-90.4974
Adair Village,OR,Oregon,44.6707,-123.2159
Adairsville,GA,Georgia,34.3708,-84.9211
Adairville,KY,Kentucky,36.671,-86.856
Adak,AK,Alaska,51.8815,-176.6295
Adams,WI,Wisconsin,43.9554,-89.8169
Adams,MN,Minnesota,43.5654,-92.719
Adams,TN,Tennessee,36.5826,-87.0634
Adams,NE,Nebraska,40.4571,-96.5127
Adams,OR,Oregon,45.7663,-118.5641
Adams,ND,North Dakota,48.4202,-98.0737
Adams Center,NY,New York,43.8616,-76.0001
Adamsburg,PA,Pennsylvania,40.3124,-79.6542
Adamstown,MD,Maryland,39.3065,-77.4668
Adamstown,PA,Pennsylvania,40.2417,-76.0608
Adamsville,AL,Alabama,33.6063,-86.9745
Adamsville,TN,Tennessee,35.2563,-88.3862
Adamsville,OH,Ohio,40.0689,-81.8826
Adamsville,PA,Pennsylvania,41.5114,-80.3705
Addieville,IL,Illinois,38.3913,-89.4865
Addington,OK,Oklahoma,34.2431,-97.9661
Addis,LA,Louisiana,30.3652,-91.2659
Addison,IL,Illinois,41.9314,-88.0085
Addison,TX,Texas,32.959,-96.8355
Addison,AL,Alabama,34.2017,-87.1765
Addison,WV,West Virginia,38.4782,-80.4082
Addison,MI,Michigan,41.9862,-84.3491
Addy,WA,Washington,48.3588,-117.8372
Addyston,OH,Ohio,39.1371,-84.7104
Adel,GA,Georgia,31.1272,-83.4232
Adel,IA,Iowa,41.6121,-94.0129
Adelanto,CA,California,34.5815,-117.4397
Adeline,IL,Illinois,42.1405,-89.4918
Adelino,NM,New Mexico,34.7066,-106.7302
Adell,WI,Wisconsin,43.6214,-87.9482
Adelphi,MD,Maryland,39.0017,-76.9649
Adelphi,OH,Ohio,39.4647,-82.7456
Adena,OH,Ohio,40.2166,-80.8762
Adin,CA,California,41.1964,-120.9494
Adjuntas,PR,Puerto Rico,18.1638,-66.7235
Admire,KS,Kansas,38.641,-96.102
Adona,AR,Arkansas,35.0399,-92.8991
Adrian,MI,Michigan,41.8994,-84.0446
Adrian,MO,Missouri,38.396,-94.3498
Adrian,MN,Minnesota,43.6332,-95.933
Adrian,GA,Georgia,32.5306,-82.592
Adrian,OR,Oregon,43.7408,-117.0709
Adrian,TX,Texas,35.2742,-102.6671
Advance,MO,Missouri,37.1038,-89.9119
Advance,NC,North Carolina,35.9468,-80.4045
Advance,IN,Indiana,39.9956,-86.6199
Advance,MI,Michigan,45.2161,-85.0807
Adwolf,VA,Virginia,36.793,-81.5927
Aetna Estates,CO,Colorado,39.7382,-104.6734
Affton,MO,Missouri,38.5499,-90.3264
Afton,MN,Minnesota,44.9042,-92.8174
Afton,WY,Wyoming,42.7271,-110.9315
Afton,OK,Oklahoma,36.6965,-94.9579
Afton,IA,Iowa,41.0276,-94.1954
Agar,SD,South Dakota,44.8398,-100.0734
Agawam,MA,Massachusetts,42.0657,-72.6526
Agency,MO,Missouri,39.6698,-94.7587
Agency,IA,Iowa,40.9975,-92.3072
Agency Village,SD,South Dakota,45.5808,-97.0831
Agenda,KS,Kansas,39.7066,-97.4322
Ages,KY,Kentucky,36.8569,-83.2426
Agoura Hills,CA,California,34.151,-118.7608
Agra,OK,Oklahoma,35.895,-96.8702
Agra,KS,Kansas,39.7613,-99.1194
Agua Dulce,CA,California,34.5044,-118.316
Agua Dulce,TX,Texas,31.6549,-106.1369
Agua Fria,NM,New Mexico,35.6615,-106.0149
Aguada,PR,Puerto Rico,18.3804,-67.1884
Aguadilla,PR,Puerto Rico,18.4382,-67.1536
Aguanga,CA,California,33.4522,-116.8555
Aguas Buenas,PR,Puerto Rico,18.2573,-66.1062
Aguas Claras,PR,Puerto Rico,18.2447,-65.6662
Aguila,AZ,Arizona,33.9376,-113.1665
Aguilar,CO,Colorado,37.4036,-104.655
Aguilita,PR,Puerto Rico,18.0284,-66.5331
Ahmeek,MI,Michigan,47.2984,-88.3972
